dhassayid,id,dhgeochemid,companyholeid,companysampleid,anumber,fromdepth,todepth,attributecolumn,attributevalue,element,units,labmethod,lowerdetnvalue,hunits,dsc,hanalyte,hvalue
866639061,78646994,3516031,12DRD001,NFT246598,100006,321.0,322.0,Fe,0.0009,Fe,PCT,None,None,PCT,,Fe_PPM,9.0
866639088,78646995,3516031,12DRD001,NFT246599,100006,322.0,323.0,S,0.170100003,S,PCT,None,None,PCT,,S_PPM,1701.0
866639083,78646995,3516031,12DRD001,NFT246599,100006,322.0,323.0,Fe,0.000301,Fe,PCT,None,None,PCT,,Fe_PPM,3.01
866639105,78646996,3516031,12DRD001,NFT246600,100006,323.0,324.0,Fe,0.000406,Fe,PCT,None,None,PCT,,Fe_PPM,4.06
866639110,78646996,3516031,12DRD001,NFT246600,100006,323.0,324.0,S,0.035700001,S,PCT,None,None,PCT,,S_PPM,357.0
866639132,78646997,3516031,12DRD001,NFT246601,100006,324.0,325.0,S,1.149500012,S,PCT,None,None,PCT,,S_PPM,11495.0
866639127,78646997,3516031,12DRD001,NFT246601,100006,324.0,325.0,Fe,0.00047,Fe,PCT,None,None,PCT,,Fe_PPM,4.7
866639154,78646998,3516031,12DRD001,NFT246602,100006,325.0,326.0,S,5.499700069,S,PCT,None,None,PCT,,S_PPM,54997.0
866639149,78646998,3516031,12DRD001,NFT246602,100006,325.0,326.0,Fe,0.001492,Fe,PCT,None,None,PCT,,Fe_PPM,14.919999
866639176,78646999,3516031,12DRD001,NFT246603,100006,326.0,327.0,S,2.720700026,S,PCT,None,None,PCT,,S_PPM,27207.0
866639171,78646999,3516031,12DRD001,NFT246603,100006,326.0,327.0,Fe,0.001196,Fe,PCT,None,None,PCT,,Fe_PPM,11.96
866639193,78647000,3516031,12DRD001,NFT246604,100006,327.0,328.0,Fe,0.001133,Fe,PCT,None,None,PCT,,Fe_PPM,11.33
866639198,78647000,3516031,12DRD001,NFT246604,100006,327.0,328.0,S,1.162700057,S,PCT,None,None,PCT,,S_PPM,11627.001
